importer1,importer2,flow1
Carroll Gardens,Financial District,332
Carroll Gardens,Midtown,69
Carroll Gardens,Parkchester,181
Central Park,Cobble Hill,5
Central Park,Queens Village,3
Central Park,Soho,6
Chelsea,Astoria-Long Island City,316
Chelsea,East Brooklyn,67
Chelsea,East Village,9
Chelsea,Harlem,3
Chelsea,Lower East Side,3
Chelsea,Queens Village,11
Chelsea,Woodhaven-Richmond Hill,2
Chinatown,Carroll Gardens,143
City Island,Gramercy,85
Clearview,Auburndale,30
Clearview,Middle Village,5
Clinton,Auburndale,12
Clinton,Glendale,215
Clinton,Saintalbans,29
Clinton,Throggs Neck,265831
Cobble Hill,Bedford Park,2099
Cobble Hill,Chelsea,53494
Cobble Hill,Harlem,461
Cobble Hill,Middle Village,43
Corona,East Village,17
Corona,Fort Green,20
Corona,Greenwich Village,74932
Corona,Williamsburg,9
Corona,Yorkville,158
Country Club,Baychester,339
Country Club,Canarsie,227
Country Club,Harlem,4978
Country Club,Kings Bridge,530
Country Club,Morningside Heights,21552
Country Club,Murray Hill,1923
Country Club,Yorkville,98705
Douglastown-Little Neck,Battery Park,5134
Douglastown-Little Neck,Bushwick,1170
Douglastown-Little Neck,Carnegie Hill,3435
Douglastown-Little Neck,Cobble Hill,3102
Douglastown-Little Neck,Douglastown-Little Neck,117
Downtown,Morris Heights,677
Downtown,Tremont,64661
Downtown,University Heights,192
Downtown,Washington Heights,52
Dyker Heights,Sunset Park,3
East Brooklyn,Astoria-Long Island City,2372
East Brooklyn,Garment District,92
East Brooklyn,Gramercy,266
East Brooklyn,Morningside Heights,746
East Brooklyn,University Heights,152
East Brooklyn,Washington Heights,18
East Brooklyn,Yorkville,2717
East Harlem,Inwood,53
East Harlem,Murray Hill,50
East Harlem,Yorkville,123
East Village,Gravesend-Sheepshead Bay,58
East Village,Murray Hill,3
East Village,Tremont,152
Financial District,Bedford-Stuyvesant,5
Financial District,Douglastown-Little Neck,4
Financial District,Park Slope,114
Financial District,South Bronx,36
Financial District,Union Port,3
Flatbush,Garment District,19917
Flatbush,Greenwood,17
Flushing,Auburndale,27
Flushing,Bedford Park,6
Flushing,Cobble Hill,6
Flushing,Harlem,56
Flushing,Midtown,366
Flushing,Murray Hill,269
Flushing,Queens Village,5
Flushing,The Rockaways,31
Flushing,Williamsburg,187
Flushing,Woodside,362
Fordham,Jackson Heights,159
Fordham,South Bronx,16
Forest Hills,Fordham,281
Forest Hills,Upper West Side,595
Fort Green,Cobble Hill,61
Fort Green,Laurelton,503
Fort Green,Little Italy,1540
Fort Green,Murray Hill,12
Fort Green,Nkew Gardens,32
Fort Green,University Heights,3
Fort Green,Washington Heights,9
Fort Green,Woodhaven-Richmond Hill,212
Garment District,East Village,144
Garment District,Riverdale,661568
Garment District,Sunny Side,17
Garment District,Woodlawn-Nordwood,3531
Garment District,Woodside,353
Glendale,Auburndale,162
Glendale,Bushwick,5
Glendale,East Harlem,10930
Glendale,Laurelton,14407
Gramercy,Battery Park,8
Gramercy,Chelsea,396
Gramercy,Dyker Heights,16
Gramercy,Laurelton,15778
Gramercy,Middle Village,54263
Gramercy,Morningside Heights,1258
Gravesend-Sheepshead Bay,Baychester,425497
Gravesend-Sheepshead Bay,Canarsie,63628
Gravesend-Sheepshead Bay,Dyker Heights,226173
Gravesend-Sheepshead Bay,Middle Village,264
Gravesend-Sheepshead Bay,Ridgewood,1369
Gravesend-Sheepshead Bay,Springfield Gardens,2498
Gravesend-Sheepshead Bay,Utopia,3
Gravesend-Sheepshead Bay,Williamsburg,13
Greenwich Village,Chinatown,3
Greenwich Village,Glendale,329
Greenwood,Clinton,494
Greenwood,Flushing,209
Greenwood,Maspeth,601
Greenwood,North Sutton Area,4
Greenwood,Soho,4960
Greenwood,Tribeca,116
Hamilton Heights,Dyker Heights,46
Hamilton Heights,Fort Green,72
Hamilton Heights,High Bridge,95
Hamilton Heights,Sunset Park,116
Harlem,Gravesend-Sheepshead Bay,53
Harlem,Hamilton Heights,56
Harlem,Morris Park,24
Harlem,University Heights,3
Harlem,Washington Heights,12
High Bridge,Gramercy,7
High Bridge,Riverdale,4
Hunts Point,Garment District,4
Hunts Point,Little Italy,6
Hunts Point,Utopia,11
Inwood,Fordham,8
Inwood,Queens Village,4
Jackson Heights,Country Club,3
Jackson Heights,High Bridge,1587
Jackson Heights,Hunts Point,38
Jackson Heights,Laurelton,53
Jackson Heights,Mapleton-Flatlands,35
Jackson Heights,Morningside Heights,614
Jackson Heights,Sunset Park,41
Jamaica,South Bronx,13
Kings Bridge,Clinton,41
Kings Bridge,Downtown,43
Kings Bridge,Financial District,5
Kings Bridge,Maspeth,5
Kings Bridge,Morris Heights,8
Kings Bridge,South Bronx,11
Kings Bridge,The Rockaways,935
Kings Bridge,Tribeca,5725
Laurelton,Chelsea,63582
Laurelton,Cobble Hill,2763
Laurelton,Flushing,230908
Laurelton,Fort Green,631
Laurelton,Garment District,12344
Laurelton,Inwood,367
Laurelton,Mapleton-Flatlands,23852
Laurelton,Murray Hill,776
Little Italy,Borough Park,205
Little Italy,Corona,5
Little Italy,Greenwich Village,6
Little Italy,Murray Hill,255
Little Italy,North Sutton Area,10
Little Italy,Ridgewood,10
Little Italy,The Rockaways,75
Little Italy,Utopia,1922
Lower East Side,Canarsie,443
Lower East Side,Mapleton-Flatlands,21
Lower East Side,Murray Hill,6
Lower East Side,Queens Village,111
Mapleton-Flatlands,Gramercy,200
Mapleton-Flatlands,Morris Park,6
Mapleton-Flatlands,The Rockaways,80
Maspeth,Greenwich Village,9
Maspeth,Jackson Heights,767
Maspeth,Upper West Side,4303
Maspeth,Washington Heights,44
Middle Village,Fort Green,3362
Middle Village,Jamaica,3891
Middle Village,Laurelton,242
Middle Village,Little Italy,31
Middle Village,Nkew Gardens,731
Midtown,Laurelton,222
Midtown,Spuyten Duyvil,218701
Midtown,Steinway,2624
Morningside Heights,Gramercy,34382
Morningside Heights,Park Slope,865
Morningside Heights,Union Port,9443
Morningside Heights,Williams Bridge,4
Morris Heights,Bedford-Stuyvesant,63
Morris Heights,Forest Hills,4
Morris Heights,Garment District,4
Morris Park,Country Club,107912
Morris Park,Gramercy,987017
Morris Park,Hamilton Heights,1789
Morris Park,Morris Park,130
Morris Park,Parkchester,3591
Mott Haven,Carnegie Hill,25770
Mott Haven,Greenwood,3
Mott Haven,Steinway,164
Murray Hill,Bushwick,33
Murray Hill,Cobble Hill,3
Murray Hill,North Sutton Area,5
Murray Hill,Ridgewood,6
Murray Hill,Soundview,5
Murray Hill,Upper East Side,26
Murray Hill,Wakefield-Williamsbridge,39819
Nkew Gardens,Bensonhurst,722
Nkew Gardens,Brownsville,160
Nkew Gardens,Flushing,9
Nkew Gardens,Jamaica,9
Nkew Gardens,Morris Park,27
Nkew Gardens,Parkchester,141
Nkew Gardens,The Rockaways,201
Nkew Gardens,Throggs Neck,21
Nkew Gardens,Utopia,408
North Sutton Area,Forest Hills,1186
North Sutton Area,Gramercy,112
North Sutton Area,Soundview,46
Park Slope,Clinton,29498
Park Slope,Glendale,424
Park Slope,Greenwich Village,636
Park Slope,Kings Bridge,18243
Park Slope,Lower East Side,195
Park Slope,Maspeth,31
Park Slope,Park Slope,22
Park Slope,South Bronx,3
Park Slope,Tribeca,3
Park Slope,Union Port,124
Parkchester,Boerum Hill,3
Parkchester,Lower East Side,46
Parkchester,University Heights,189
Parkchester,Washington Heights,68
Parkchester,Woodhaven-Richmond Hill,23
Queens Village,Battery Park,106
Queensboro Hill,Astoria-Long Island City,625
Queensboro Hill,Greenwich Village,129
Queensboro Hill,Hamilton Heights,16
Queensboro Hill,Middle Village,16
Ridgewood,Battery Park,4
Ridgewood,Bushwick,10
Ridgewood,Jamaica,3
Ridgewood,Morris Park,32
Ridgewood,Springfield Gardens,43
Riverdale,Kings Bridge,3
Riverdale,Lower East Side,6
Riverdale,Soho,8
Riverdale,Wakefield-Williamsbridge,3
Saintalbans,Canarsie,4
Saintalbans,Hamilton Heights,5
Soho,Flatbush,15
Soho,High Bridge,3
Soho,Mott Haven,3
Soho,Riverdale,12
Soho,Sunset Park,969
Soundview,Central Park,6
Soundview,Jamaica,132924
South Bronx,East Village,51512
South Bronx,Garment District,6657
South Bronx,Queens Village,920
South Bronx,Springfield Gardens,47
South Bronx,Williamsburg,234
Springfield Gardens,Chinatown,943
Springfield Gardens,Clinton,3929
Springfield Gardens,Dyker Heights,107827
Springfield Gardens,Maspeth,127
Springfield Gardens,Throggs Neck,204
Springfield Gardens,Tribeca,4
Springfield Gardens,Upper East Side,16
Springfield Gardens,West Village,299
Spuyten Duyvil,Central Park,295
Spuyten Duyvil,Park Slope,188
Spuyten Duyvil,Union Port,12
Spuyten Duyvil,Washington Heights,14
Spuyten Duyvil,Williams Bridge,20
Sunny Side,City Island,3
Sunny Side,Corona,5
Sunny Side,Kings Bridge,60
Sunny Side,Mott Haven,813
Sunny Side,Utopia,5066
Sunset Park,Astoria-Long Island City,19
Sunset Park,Mapleton-Flatlands,19372
Sunset Park,Middle Village,915
Sunset Park,Mott Haven,119
The Rockaways,Lower East Side,144
Throggs Neck,Greenwich Village,4
Throggs Neck,North Sutton Area,6
Throggs Neck,Upper East Side,24
Tremont,Chinatown,24
Tremont,High Bridge,16
Tremont,Hunts Point,16
Tremont,Jackson Heights,507
Tremont,Morningside Heights,99
Tremont,Sunset Park,114
Tremont,Throggs Neck,8
Tribeca,Bensonhurst,5
Tribeca,Brownsville,3260
Tribeca,Sunny Side,3154
Tribeca,Tremont,66820
Union Port,Morris Heights,1871
Union Port,Woodlawn-Nordwood,745
University Heights,Little Italy,656298
Upper East Side,Astoria-Long Island City,319
Upper East Side,Carnegie Hill,4
Upper East Side,Greenwood,10
Upper East Side,Inwood,439
Upper East Side,Upper East Side,596
Upper West Side,Baychester,6
Upper West Side,Dyker Heights,11
Upper West Side,Hamilton Heights,22
Upper West Side,Lower East Side,8
Utopia,Financial District,1581
Utopia,Fort Green,2652
Utopia,Gravesend-Sheepshead Bay,185528
Utopia,The Rockaways,425
Wakefield-Williamsbridge,Jackson Heights,1114
Wakefield-Williamsbridge,Upper West Side,41
Washington Heights,Flushing,3298
Washington Heights,Wakefield-Williamsbridge,46
West Village,Astoria-Long Island City,4326
West Village,Borough Park,76
West Village,City Island,35709
West Village,Flushing,32
West Village,Fort Green,1556
West Village,Little Italy,8
West Village,Lower East Side,3
West Village,Mapleton-Flatlands,16
West Village,Nkew Gardens,9
West Village,North Sutton Area,46
Williams Bridge,Gravesend-Sheepshead Bay,7
Williams Bridge,Morris Heights,5
Williamsburg,Country Club,49
Williamsburg,Laurelton,6
Williamsburg,The Rockaways,3
Williamsburg,Woodside,5
Woodhaven-Richmond Hill,Bushwick,8
Woodhaven-Richmond Hill,Douglastown-Little Neck,584
Woodhaven-Richmond Hill,The Rockaways,31
Woodlawn-Nordwood,Baychester,3
Woodlawn-Nordwood,Hamilton Heights,5
Woodlawn-Nordwood,Inwood,142
Woodlawn-Nordwood,Jackson Heights,12
Woodlawn-Nordwood,Wakefield-Williamsbridge,4
Woodside,Central Park,9
Woodside,Dyker Heights,7
Woodside,Glendale,3
Woodside,Lower East Side,36
Woodside,South Bronx,570
Woodside,Spuyten Duyvil,776
Yorkville,Baychester,600
Yorkville,Clinton,2557
Yorkville,Douglastown-Little Neck,12
Yorkville,High Bridge,3
Yorkville,Maspeth,39
Yorkville,Sunset Park,77
Yorkville,Tribeca,4
Astoria-Long Island City,Forest Hills,3
Astoria-Long Island City,Gravesend-Sheepshead Bay,10
Astoria-Long Island City,High Bridge,13
Astoria-Long Island City,Sunset Park,146
Astoria-Long Island City,Tremont,7
Auburndale,Lower East Side,5
Battery Park,Bedford-Stuyvesant,3
Battery Park,Hamilton Heights,65
Battery Park,Laurelton,236
Battery Park,Morris Park,49
Battery Park,Parkchester,5
Battery Park,Upper East Side,3
Battery Park,Woodhaven-Richmond Hill,3
Bay Ridge,Astoria-Long Island City,52
Bay Ridge,Battery Park,5
Bay Ridge,Fordham,4
Bay Ridge,High Bridge,17
Bay Ridge,Mapleton-Flatlands,97
Bay Ridge,Mott Haven,506
Baychester,Fordham,746
Baychester,Soundview,52
Baychester,Woodlawn-Nordwood,224
Bedford Park,Carnegie Hill,6
Bedford Park,Kings Bridge,4
Bedford Park,South Bronx,3
Bedford-Stuyvesant,Cobble Hill,4
Bedford-Stuyvesant,Inwood,4
Bensonhurst,Bensonhurst,18
Bensonhurst,Brownsville,4
Bensonhurst,Bushwick,77
Bensonhurst,Forest Hills,23
Bensonhurst,The Rockaways,4
Boerum Hill,Bedford-Stuyvesant,11
Boerum Hill,Borough Park,3
Boerum Hill,Fort Green,16
Boerum Hill,Hamilton Heights,995
Boerum Hill,Little Italy,433
Boerum Hill,Nkew Gardens,6563
Boerum Hill,Riverdale,195
Borough Park,Astoria-Long Island City,16
Borough Park,Borough Park,4
Borough Park,East Brooklyn,6
Borough Park,Little Italy,127428
Borough Park,Morningside Heights,761520
Borough Park,Nkew Gardens,2576
Brownsville,Astoria-Long Island City,9431
Upper East Side,Upper East Side,6840367
Upper West Side,Baychester,219
Upper West Side,Dyker Heights,331
Upper West Side,Hamilton Heights,128788
Upper West Side,Lower East Side,64351
Utopia,Financial District,181
Utopia,Fort Green,23
Utopia,Gravesend-Sheepshead Bay,8
Utopia,The Rockaways,5
Wakefield-Williamsbridge,Jackson Heights,3
Wakefield-Williamsbridge,Upper West Side,14
Washington Heights,Flushing,100
Washington Heights,Wakefield-Williamsbridge,112
West Village,Astoria-Long Island City,20033
West Village,Borough Park,2071
West Village,City Island,9
West Village,Flushing,553
West Village,Fort Green,30306
West Village,Little Italy,67740
West Village,Lower East Side,132024
West Village,Mapleton-Flatlands,2307
West Village,Nkew Gardens,974
West Village,North Sutton Area,14795
Williams Bridge,Gravesend-Sheepshead Bay,3
Williams Bridge,Morris Heights,14
Williamsburg,Country Club,11
Williamsburg,Laurelton,18
Williamsburg,The Rockaways,37
Williamsburg,Woodside,2182
Woodhaven-Richmond Hill,Bushwick,52
Woodhaven-Richmond Hill,Douglastown-Little Neck,23
Woodhaven-Richmond Hill,The Rockaways,24
Woodlawn-Nordwood,Baychester,3
Woodlawn-Nordwood,Hamilton Heights,5
Woodlawn-Nordwood,Inwood,12
Woodlawn-Nordwood,Jackson Heights,3
Woodlawn-Nordwood,Wakefield-Williamsbridge,39
Woodside,Central Park,806
Woodside,Dyker Heights,10
Woodside,Glendale,108
Woodside,Lower East Side,989
Woodside,South Bronx,110
Woodside,Spuyten Duyvil,8
Yorkville,Baychester,79
Yorkville,Clinton,21569
Yorkville,Douglastown-Little Neck,87
Yorkville,High Bridge,2229
Yorkville,Maspeth,232
Yorkville,Sunset Park,155
Yorkville,Tribeca,4018
Astoria-Long Island City,Forest Hills,5809
Astoria-Long Island City,Gravesend-Sheepshead Bay,272
Astoria-Long Island City,High Bridge,800
Astoria-Long Island City,Sunset Park,427
Astoria-Long Island City,Tremont,454
Auburndale,Lower East Side,5
Battery Park,Bedford-Stuyvesant,1422
Battery Park,Hamilton Heights,727
Battery Park,Laurelton,17
Battery Park,Morris Park,72
Battery Park,Parkchester,151
Battery Park,Upper East Side,58221
Battery Park,Woodhaven-Richmond Hill,163
Bay Ridge,Astoria-Long Island City,27
Bay Ridge,Battery Park,27
Bay Ridge,Fordham,3
Bay Ridge,High Bridge,3
Bay Ridge,Mapleton-Flatlands,196
Bay Ridge,Mott Haven,4
Baychester,Fordham,11
Baychester,Soundview,6
Baychester,Woodlawn-Nordwood,4
Bedford Park,Carnegie Hill,4
Bedford Park,Kings Bridge,97
Bedford Park,South Bronx,47
Bedford-Stuyvesant,Cobble Hill,240
Bedford-Stuyvesant,Inwood,23
Bensonhurst,Bensonhurst,1081
Bensonhurst,Brownsville,7
Bensonhurst,Bushwick,9
Bensonhurst,Forest Hills,8
Bensonhurst,The Rockaways,3
Boerum Hill,Bedford-Stuyvesant,12249
Boerum Hill,Borough Park,2168
Boerum Hill,Fort Green,29708
Boerum Hill,Hamilton Heights,257
Boerum Hill,Little Italy,1435
Boerum Hill,Nkew Gardens,86
Boerum Hill,Riverdale,16
Borough Park,Astoria-Long Island City,68
Borough Park,Borough Park,8804
Borough Park,East Brooklyn,24
Borough Park,Little Italy,59
Borough Park,Morningside Heights,18
Borough Park,Nkew Gardens,10
Brownsville,Astoria-Long Island City,9
Brownsville,Central Park,6
Brownsville,Chelsea,20
Brownsville,Garment District,13
Brownsville,Queens Village,7
Bushwick,Astoria-Long Island City,590
Bushwick,East Brooklyn,303
Bushwick,Glendale,171
Bushwick,Hunts Point,5
Bushwick,Tremont,6
Bushwick,Woodlawn-Nordwood,3
Canarsie,Astoria-Long Island City,6
Canarsie,Hamilton Heights,3
Canarsie,Mott Haven,3
Canarsie,The Rockaways,13
Canarsie,Woodhaven-Richmond Hill,8
Carnegie Hill,Borough Park,220
Carnegie Hill,Canarsie,22
Carnegie Hill,Carnegie Hill,70232
Carnegie Hill,Little Italy,2036
Carnegie Hill,Mapleton-Flatlands,208
Carnegie Hill,Morningside Heights,23991
Carnegie Hill,Nkew Gardens,181
Carnegie Hill,Sunny Side,1901
Carnegie Hill,Tribeca,8379
Carroll Gardens,Carnegie Hill,387
Carroll Gardens,Hamilton Heights,176
Carroll Gardens,Queens Village,5
Carroll Gardens,Soundview,5
Carroll Gardens,South Bronx,36
Carroll Gardens,Tremont,6
Central Park,Canarsie,51
Central Park,Chelsea,55820
Central Park,City Island,8
Central Park,Downtown,1207
Central Park,Forest Hills,1022
Central Park,Fort Green,1878
Central Park,Upper East Side,470885
Central Park,Wakefield-Williamsbridge,85
Chelsea,Boerum Hill,13785
Chelsea,Flatbush,35
Chelsea,Fort Green,61731
Chelsea,Soundview,1276
Chinatown,Flatbush,10
Chinatown,Fordham,83
Chinatown,Riverdale,63
Clinton,Borough Park,2373
Clinton,City Island,42
Clinton,Little Italy,26326
Clinton,Mapleton-Flatlands,2498
Clinton,Morningside Heights,28981
Clinton,Nkew Gardens,1902
Clinton,Soho,100358
Clinton,Woodside,5606
Cobble Hill,Battery Park,1414
Cobble Hill,Flushing,45
Cobble Hill,Jackson Heights,220
Cobble Hill,Park Slope,7117
Cobble Hill,Ridgewood,71
Cobble Hill,Upper West Side,2054
Corona,Battery Park,60
Corona,Downtown,58
Corona,High Bridge,14
Corona,Mott Haven,9
Corona,Riverdale,10
Corona,Spuyten Duyvil,6
Corona,Sunset Park,12
Country Club,Country Club,228
Douglastown-Little Neck,Bedford-Stuyvesant,5
Douglastown-Little Neck,Jamaica,83
Douglastown-Little Neck,Morningside Heights,5
Douglastown-Little Neck,Woodhaven-Richmond Hill,12
Downtown,Borough Park,1572
Downtown,Flushing,324
Downtown,Little Italy,4414
Downtown,Nkew Gardens,363
Downtown,Queens Village,19
Downtown,Riverdale,90
Dyker Heights,Bushwick,4
Dyker Heights,Carroll Gardens,13
Dyker Heights,Clinton,13
Dyker Heights,Middle Village,3
Dyker Heights,Tribeca,10
Dyker Heights,Yorkville,5
East Brooklyn,Bay Ridge,8
East Brooklyn,Glendale,13
East Brooklyn,High Bridge,3
East Brooklyn,Morris Heights,3
East Brooklyn,Springfield Gardens,14
East Brooklyn,Sunset Park,10
East Harlem,Fordham,493
East Harlem,Kings Bridge,282
East Harlem,University Heights,475
East Village,Canarsie,667
East Village,Downtown,21739
East Village,Fort Green,76641
East Village,Greenwich Village,477697
East Village,North Sutton Area,44479
Financial District,Astoria-Long Island City,12651
Financial District,Corona,19
Financial District,Forest Hills,4643
Financial District,Hamilton Heights,3277
Financial District,Jamaica,1024
Financial District,Middle Village,1331
Financial District,Woodhaven-Richmond Hill,900
Financial District,Yorkville,10333
Flatbush,Central Park,3
Flatbush,Midtown,8
Flushing,Battery Park,92
Flushing,Bedford-Stuyvesant,43
Flushing,Country Club,7
Flushing,Gramercy,545
Flushing,Tremont,9
Flushing,Wakefield-Williamsbridge,3
Fordham,Carnegie Hill,5
Fordham,Upper East Side,52
Fordham,Utopia,3
Forest Hills,Gramercy,1316
Forest Hills,Morris Heights,8
Forest Hills,Soundview,15
Forest Hills,University Heights,48
Forest Hills,Washington Heights,280
Fort Green,Bushwick,9386
Fort Green,East Village,14032
Fort Green,Fort Green,74492
Fort Green,Jamaica,249
Fort Green,Lower East Side,15928
Fort Green,North Sutton Area,682
Fort Green,The Rockaways,78
Fort Green,Williamsburg,38648
Garment District,Astoria-Long Island City,55906
Garment District,Chelsea,634836
Garment District,Gramercy,853842
Garment District,Morris Park,1259
Gramercy,Auburndale,620
Gramercy,Flatbush,51
Gramercy,Greenwich Village,819545
Gramercy,Morris Park,1130
Gramercy,North Sutton Area,117503
Gramercy,Soho,389601
Gramercy,Springfield Gardens,399
Gravesend-Sheepshead Bay,Battery Park,21
Gravesend-Sheepshead Bay,Cobble Hill,19
Greenwich Village,Bay Ridge,8418
Greenwich Village,Central Park,42428
Greenwich Village,East Brooklyn,1170
Greenwich Village,Jamaica,1337
Greenwich Village,Murray Hill,283786
Greenwich Village,Upper West Side,241606
Greenwich Village,Woodlawn-Nordwood,526
Greenwich Village,Woodside,5888
Greenwood,Bensonhurst,89
Greenwood,Financial District,368
Greenwood,Throggs Neck,3
Greenwood,West Village,259
Greenwood,Yorkville,33
Hamilton Heights,Mott Haven,1781
Hamilton Heights,Throggs Neck,49
Harlem,Carnegie Hill,10990
Harlem,Central Park,17230
Harlem,Clearview,25
Harlem,Corona,13
Harlem,Greenwood,119
Harlem,Jamaica,344
Harlem,Middle Village,45
High Bridge,Cobble Hill,3
High Bridge,Glendale,4
High Bridge,Kings Bridge,62
High Bridge,Queensboro Hill,4
High Bridge,Sunny Side,26
Hunts Point,Bedford-Stuyvesant,6
Hunts Point,Canarsie,3
Hunts Point,Clinton,9
Hunts Point,East Village,12
Hunts Point,High Bridge,20
Hunts Point,Jackson Heights,8
Hunts Point,Upper West Side,31
Hunts Point,Williamsburg,3
Inwood,Soho,54
Inwood,Williams Bridge,27
Jackson Heights,Auburndale,151
Jackson Heights,Flatbush,3
Jackson Heights,Inwood,77
Jackson Heights,Morris Heights,46
Jackson Heights,Queensboro Hill,472
Jackson Heights,Woodlawn-Nordwood,11
Jamaica,Bushwick,24
Jamaica,Douglastown-Little Neck,56
Jamaica,Fort Green,46
Jamaica,Harlem,362
Jamaica,Morris Heights,5
Kings Bridge,Spuyten Duyvil,122
Kings Bridge,West Village,5
Laurelton,West Village,3
Little Italy,Bedford Park,157
Little Italy,Kings Bridge,99
Little Italy,Queensboro Hill,83
Little Italy,Wakefield-Williamsbridge,51
Little Italy,Williams Bridge,38
Lower East Side,Harlem,22271
Lower East Side,Soho,155405
Lower East Side,Soundview,442
Lower East Side,Throggs Neck,211
Lower East Side,Woodlawn-Nordwood,208
Mapleton-Flatlands,Astoria-Long Island City,47
Mapleton-Flatlands,Clinton,117
Mapleton-Flatlands,Douglastown-Little Neck,4
Mapleton-Flatlands,Laurelton,7
Mapleton-Flatlands,Maspeth,8
Mapleton-Flatlands,Park Slope,467
Mapleton-Flatlands,Tribeca,74
Mapleton-Flatlands,Union Port,3
Maspeth,East Brooklyn,13
Maspeth,Mapleton-Flatlands,5
Maspeth,Midtown,1803
Maspeth,Murray Hill,472
Maspeth,Ridgewood,282
Maspeth,Sunny Side,451
Middle Village,Astoria-Long Island City,56
Middle Village,Boerum Hill,5
Middle Village,East Brooklyn,13
Middle Village,East Village,30
Middle Village,Greenwich Village,15
Middle Village,Harlem,4
Middle Village,Williamsburg,38
Middle Village,Woodhaven-Richmond Hill,116
Midtown,Bensonhurst,4515
Midtown,Brownsville,1612
Midtown,Bushwick,14335
Midtown,Fort Green,65600
Midtown,Garment District,2007694
Midtown,Jamaica,6573
Midtown,Parkchester,5088
Morningside Heights,Bensonhurst,28
Morningside Heights,Brownsville,36
Morningside Heights,Garment District,19466
Morningside Heights,Glendale,32
Morningside Heights,Lower East Side,5354
Morningside Heights,Morningside Heights,95196
Morningside Heights,Morris Park,227
Morningside Heights,Parkchester,327
Morningside Heights,Queens Village,17
Morningside Heights,The Rockaways,12
Morris Heights,Downtown,4
Morris Heights,Jamaica,4
Morris Heights,Lower East Side,10
Morris Heights,Soundview,30
Morris Park,Chelsea,10
Morris Park,Morris Heights,11
Morris Park,South Bronx,44
Mott Haven,Auburndale,4
Mott Haven,Central Park,266
Mott Haven,Dyker Heights,3
Mott Haven,Hunts Point,157
Murray Hill,Carnegie Hill,36523
Murray Hill,City Island,50
Nkew Gardens,Nkew Gardens,5502
Nkew Gardens,Soundview,3
Nkew Gardens,South Bronx,11
Nkew Gardens,Tribeca,79
North Sutton Area,Clearview,59
North Sutton Area,Garment District,87465
North Sutton Area,Morris Heights,205
North Sutton Area,Upper East Side,402266
Park Slope,Hunts Point,6
Park Slope,Woodside,347
Park Slope,Yorkville,312
Parkchester,East Harlem,33
Parkchester,Garment District,35
Parkchester,Harlem,74
Parkchester,Mapleton-Flatlands,3
Parkchester,Saintalbans,3
Parkchester,Throggs Neck,74
Queens Village,Astoria-Long Island City,7
Queens Village,Financial District,8
Queens Village,Soho,6
Queens Village,Upper West Side,17
Queensboro Hill,Forest Hills,25
Queensboro Hill,Fort Green,9
Queensboro Hill,Sunny Side,25
Queensboro Hill,Williams Bridge,4
Ridgewood,Hamilton Heights,7
Ridgewood,Queens Village,6
Riverdale,Bay Ridge,3
Riverdale,Chelsea,23
Riverdale,Country Club,5
Riverdale,East Harlem,16
Saintalbans,Forest Hills,5
Saintalbans,Sunny Side,4
Soho,Corona,13
Soho,Douglastown-Little Neck,179
Soho,East Village,188229
Soho,Fordham,267
Soho,Jackson Heights,4334
Soho,Upper West Side,113420
Soundview,Clinton,24
Soundview,Laurelton,3
Soundview,Morris Park,48
Soundview,Parkchester,80
Soundview,Tribeca,6
Soundview,Wakefield-Williamsbridge,37
South Bronx,Bensonhurst,3
South Bronx,Brownsville,7
South Bronx,Parkchester,99
South Bronx,Queensboro Hill,3
Springfield Gardens,Bay Ridge,7
Springfield Gardens,Douglastown-Little Neck,21
Springfield Gardens,Flushing,12
Spuyten Duyvil,Inwood,86
Spuyten Duyvil,Lower East Side,4
Spuyten Duyvil,Soundview,6
Spuyten Duyvil,Woodside,4
Steinway,Astoria-Long Island City,5
Steinway,Upper West Side,9
Sunny Side,Chelsea,11886
Sunny Side,Downtown,1585
Sunset Park,Fordham,5
Sunset Park,High Bridge,3
Sunset Park,Jackson Heights,28
Sunset Park,Sunset Park,2203
Sunset Park,Upper West Side,54
The Rockaways,Garment District,6
The Rockaways,Mapleton-Flatlands,5
The Rockaways,The Rockaways,373
Throggs Neck,Chinatown,3
Throggs Neck,East Harlem,4
Throggs Neck,East Village,6
Throggs Neck,Financial District,5
Throggs Neck,Utopia,4
Throggs Neck,Wakefield-Williamsbridge,8
Tremont,Garment District,20
Tremont,North Sutton Area,5
Tremont,Upper East Side,56
Tribeca,Carroll Gardens,10517
Tribeca,Chinatown,21864
Tribeca,Mapleton-Flatlands,2463
Tribeca,South Bronx,489
Tribeca,Woodside,1753
Union Port,Hunts Point,30
Union Port,Sunny Side,10
Union Port,Wakefield-Williamsbridge,20
Union Port,Williams Bridge,18
Union Port,Woodside,3
University Heights,East Village,10
University Heights,Midtown,30
University Heights,Williamsburg,3
Upper East Side,Dyker Heights,1125
Upper East Side,Flatbush,53
Upper East Side,Fort Green,24867
Upper West Side,Bedford-Stuyvesant,6232
Upper West Side,Downtown,6326
Upper West Side,High Bridge,7652
Upper West Side,Hunts Point,871
Upper West Side,Sunset Park,1274
Utopia,Central Park,82
Utopia,Fordham,4
Utopia,Mott Haven,11
Utopia,Woodside,48
Utopia,Yorkville,65
Wakefield-Williamsbridge,East Harlem,6
Wakefield-Williamsbridge,Forest Hills,3
Wakefield-Williamsbridge,Upper East Side,16
