Month	Weekday	Vendor	Revenue
12	Friday	VTS	1.31E+07
12	Friday	CMT	1.24E+07
12	Monday	CMT	1.32E+07
12	Monday	VTS	1.36E+07
12	Saturday	VTS	1.23E+07
12	Saturday	CMT	1.17E+07
12	Sunday	VTS	1.39E+07
12	Sunday	CMT	1.35E+07
12	Thursday	VTS	1.22E+07
12	Thursday	CMT	1.15E+07
12	Tuesday	VTS	1.39E+07
12	Tuesday	CMT	1.32E+07
12	Wednesday	VTS	1.13E+07
12	Wednesday	CMT	1.07E+07
